,text,sentiment,sentiment_label
711,aman ada mbkm butuh uas ku,-1,Negatif
712,barter ya kak kuesioner ku mbkm,4,Positif
713,haloo bantu isi kuesioner ku ya mbkm terima kasih sebelumnyaa kuesioner,16,Positif
714,semester sih nder mbkm biar ketemu teman kelas,-1,Negatif
715,implementasi program mbkm faperta unisri gelar kuliah praktisi budidaya bunga krisan,2,Positif
716,gua rela gajadi makan mavera makan selasar fisip b lu interview program mbkm,1,Positif
717,aduh cantik banget ajg raisaa semangat mbkm nya,8,Positif
718,pas edar dibagiin mbkm nya suruh semester,3,Positif
719,wkwkwk cakep gedung kampus smt tau pindah let me know kalo rencana mbkm smt kosku kaya disewain kalo panjang wkwk,11,Positif
720,iya nder pas magang mbkm pikir pakai skincare mental down amp pp kman kulit wajah item bersih tangan doang gosong wkwkwkwk,-1,Negatif
721,dosen didik bahasa arab uin sunan kalijaga yogyakarta agung setiawan tarik mahasiswa program merdeka ajar kampus ajar mts negeri bantul kamis tiga mahasiswa selesai program mbkm,9,Positif
722,pakai template word editable lolos msib mbkm batch kemarinn ya,0,Netral
723,sorry kak tany mbkm ya,0,Netral
724,nder program magang mbkm smt,0,Netral
725,huh juni bentar kelar magang pagi share info nilai supervisor kerja logbook lapor magang publikasi tanggal uas mbkm semangat habis lanjut skripsi,17,Positif
726,nder program mbkm,0,Netral
727,gue ngejar ip biar mbkm,1,Positif
728,mbkm mandiri tugas administrasi akademik,-4,Negatif
729,rek iki nek ket isok njaluk ttd transkrip nak dpa sek ya daftar mbkm banget,6,Positif
730,um ikut program mbkm msibkampus ajar status rekomendasi tahap administrasi terus kepala departemen verifikasi kepala departemen langsung,1,Positif
731,dau mbkm brin tuh buka ya sem genap semester ya,8,Positif
732,haloo izin dm putar mbkm brin terima kasi kak,-2,Negatif
733,panit mbkm,0,Netral
734,kasih napas mikir mbkm sup pikir elektif,5,Positif
735,oh maksud iya mbkm skripsi tinggal sih,4,Positif
736,win win solution lu dpet konversi nilai doesnt mean ngubah nilai sks lu keitung lu ngambil mbkm ngaruh ipk lu,10,Positif
737,wanita kelah web mbkm lot,-5,Negatif
738,hubungin kaprodi cepat nder hubungin kaprodi kalo daftar mbkm,4,Positif
739,kuliah bikin stres pas magang mbkm mandiri skripsi sem orang bikin stres,-7,Negatif
740,ih bjir hakadi tonton mbkm,-4,Negatif
741,habis sidang mbkm wml ges,4,Positif
742,um kalo mbkm tuh bayar full ukt ya,5,Positif
743,presensi bos mbkm ajak,4,Positif
744,universitas negeri gorontalo ung rabu mahasiswamahasiswa selesai program magang karantina gorontalo program magang program merdeka ajar kampus merdeka mbkm luncur,3,Positif
745,tuntas mbkm karantina mahasiswa ung bekal ilmu alam gorontalo balai karantina hewan ikan tumbuh bkhit gorontalo lepas mahasiswa magang jurus kimia fakultas matematika ilmu tahu alam mipa,16,Positif
746,iya magangmbkm,0,Netral
747,mbkm proker kejar deadline,-3,Negatif
748,luwh mbkm seng,0,Netral
749,efek uas semester mantap banget deh ngosngosan banget kejarkejaran deadline tugas uas banyak proyek panitia mbkm bantai habis,13,Positif
750,terima kasih sayang on point banget terima kasih abang jada alas semangat kuliah ambis mbkm semangat skripsi kalo hibur sayaangku apa kelarin skripsi happy,23,Positif
751,program mbkm bela negara fh ulm kemenkumham kalsel hadir narasumber kumhamkalsel taufiqurrakhman lapasbanjarbaru iwayannurasta,2,Positif
752,mahasiswa fokus mbkm,3,Positif
753,gelombang kebijakankebijakan pro rakyat lahir kuasa mahasiswa reaksi ya efektif kah mbkm reduksi sikap kritis daya gedor kawankawan agent of change,10,Positif
754,halo cewek minat kkn mbkm fisip unri pc reply ya,11,Positif
755,mbkm min smt kkn smt an pas libur smt pendek prodi program kknmagang,7,Positif
756,coba audit program mbkm kayak iisma deh lol,-1,Negatif
757,mbkm kali tuh kak,0,Netral
758,repost kepala pusat kebun bsip ajar bisnis komoditas tanam segar mahasiswa ipb university bsipperkebunan ipb mbkm,7,Positif
759,min mumpung libur case kalo terima mbkm,7,Positif
760,ya ampun sangka ngalamin plagiat pakai sih plagiat daftar mbkm,9,Positif
761,mbkm sih wkwkwkwk oh iisma,0,Netral
762,bentar bu mbkm,0,Netral
763,maaf ya anak mbkm doa kelompok anak mbkm,-1,Negatif
764,upnsby haloo sender mbkm salah input krs non mata kuliah lanjur acc doswalnya kalo ngebatalin hubung ya tau,0,Netral
765,yujiem test toefl mbkm wajib kah ges,-2,Negatif
766,malas cari info mbkm pas injak sem fokus organisasi kalo coba takut daftar magang giat eksternal biar bingung isi cv pakai senggol senggol teman tuju lulus,14,Positif
767,izin menginput nilai mbkm p dosen bimbing kadepnya ya,8,Positif
768,kalo lihat teman tuh klean kalo ambil course lainmbkm mending smt smt catat teliti santai ya ribet,2,Positif
769,ya allah mudah ocha urus mbkm moga lancar amin allahuma amin,24,Positif
770,gua kkn pliiss konversi magang mbkm huhu,-3,Negatif
771,bayar juta mbkm research nerbitin jurnal minimal sinta kaya better skripsi deh,4,Positif
772,pengin cepat pulang biar bikin rekening biar cepat selesai urus mbkm urus nyisa pusing banget anjir bikin rekening ya kalo pulang ku molor aah,12,Positif
773,anggur kadang jadwal bentrok mbkm,-6,Negatif
774,mandiri sih mbkm open daftar mepet rame banget susah cari nya kelas,-11,Negatif
775,wkwk intern sosmednya mbkm yaach,0,Netral
776,temanteman um semester ambil mbkm sambi skripsi,-5,Negatif
777,joki tugas t jasa rapiin desain design elevate portfolio portofolio msib merdeka ajar magang mbkm cv creative kerja intern internahip magang part time murah,15,Positif
778,gue sih mbkm numpang,0,Netral
779,tim hibah mbkm uns jalin mitra strategis anton projectbamboo,2,Positif
780,sabar seru rangkai acara magang mbkm non sks yuk daftar upgrade acara magang mbkm non sks simak syarat bawah ya,18,Positif
781,open recruitment serta magang mbkm non sks halo sobat fapet penasaran sih terna sih praktek kerja lapang kandang yeayy finally open recruitment serta magang mbkn non sks resmi buka,10,Positif
782,aa i sih lihat sih mbkm cocok jurus ribet sks semangat ya nder,11,Positif
783,teman gue gue ajak challenge mbkm gue bikin transisi makeup aja konsumsi pribadi upload malu hiks sjsnsksn,6,Positif
784,mbkm kemendikbud worth banget tambah alam tau deh problem ribet mana,-6,Negatif
785,tunggu mahasiswa duh lihat deh iklim kampus industrialis sibuk magang cari kerja beban sks mbkm kaji bijak jarang sekali jarang sepi minat lemah sistematis amp masif lho,9,Positif
786,universitas solid ya mbkm mentingin menuhin cvnya magang mana mahasiswa peduli mahasiswa agent of change mahasiswa mahasiswa,8,Positif
787,kak magang bpjs ketenagakerjaan pas mbkm kah,3,Positif
788,mbkm nih akalakalan sih mahasiswa pusing dosen pusing fakultas pusing,-12,Negatif
789,kalo tau administrasi nya seribet mbkm deh um ancam tambah semester,-5,Negatif
790,rek um tabung bni ya kepake gara pakai itu daftar bni mbkm saldo minus hapus rekening denda minus cont,-2,Negatif
791,ajar siap mbkm,2,Positif
792,kasih wkwkwk lapor mbkm tuh template nya,7,Positif
793,nilai rumit wkwkk dulunya diwajibin uji semester mbkm hapus ganti nilai bab rau detail,4,Positif
794,andai urus mbkm gatal banget pengin uninstall wa,0,Netral
795,program mbkm bela negara fh ulm kemenkumham kalsel hadir narasumber lppmartapura kumhamkalsel hbp taufiqurrakhman lil yuaningsih,2,Positif
796,lu mbkm alam gua saran kampus ajar peluang mudah prokernya seru ajar ajar butuh preferensi dunia kerja proper relasi ya ambil independen msib,16,Positif
797,lebii kayak tinggal mbkm,-2,Negatif
798,lemes banget tau program mbkm doang bijak kampus prodi pmm msib sih bijak apa kalo doang rugi adil banget sumpah benerbener ngecewain banget,3,Positif
799,giat tanda giat magang mbkm fakultas hukum universitas syiah kuala usk semester kipaceh kipmelayani kpumelayani pilkadaserentak,5,Positif
800,riza chatias pratama sh llm ketua hukum tata negara usk mirja fauzul hamdi sh mah senin aula kantor kip aceh kunjung giat jemput mahasiswa ikut program magang merdeka ajar kampus merdeka mbkm,7,Positif
801,razali terima direktur program studi ilmu hukum fakultas hukum universitas syiah kuala muhammad yakub aiyub kadir llm phd damping koordinator program magang mbkm,26,Positif
802,fase fokus mbkm riset skripsi ya,7,Positif
803,banyak mbkm ipk nya tolong auto,6,Positif
804,itutu kkn reguler mbkm sih,0,Netral
805,peristiwa program merdeka ajar kampus merdeka mbkm luncur menteri didik budaya riset teknologi kemendikbudristek layak angin segar dunia didik indonesia,17,Positif
806,program mbkm konversi susah mahasiswa gundah,-8,Negatif
807,doain lolos mbkm ya manteman,2,Positif
808,dampak mbkm usaha minim buka buka lowong intern mandiri enak nebeng mbkm negara ngegaji,3,Positif
809,sakit nih garagara mikir mbkm,-3,Negatif
810,tbh sebel sih batas gerak susah literasi minat mahasiswa kastratakspro rendahh tambah mbkm tuntut kerja utama anak alam magang combo maut sistematis,-5,Negatif
811,gue ngebagi hati ketimbang ngebagi otak lapor mbkm lapor kmm tugas rekog lalala,8,Positif
812,main acc nyampur shawol acc ya deh kalo isi sih sinar study acc kumasukin mbkm private acc isi random,6,Positif
813,rektor unifa papar mbkm mandiri pimpin pts lldikti ix,-6,Negatif
814,sesal msib mbkm doang,2,Positif
815,unila mobilisasi mbkm khusus mitra mitra ya tiket senin perintah,8,Positif
816,program mbkm bela negara fh ulm kemenkumham kalsel hadir narasumber lengkap kumhamkalsel taufiqurrakhman kanwil kemenkumham kalsel taufiqurrakhman,4,Positif
817,urus mbkm apa ya kecewa data ubah harap ubah,1,Positif
818,alumni mbkm batch nder organisasi panitia apa dm kalo nder,3,Positif
819,hubungin koordinator prodi mbkm nder,2,Positif
820,braw feb mbkm smt log book kah,0,Netral
821,yujiem mbak mas sipil ft mbkm worth ya smt,4,Positif
822,mata kuliah konversi mbkm nder,-1,Negatif
823,halo um mbkm pbm nya isi,3,Positif
824,gantung nder cuman prodiku rada tahi mbkm teliti mah maksa pilih paket konversi a,-11,Negatif
825,sayang banget potong gara mbkm,-2,Negatif
826,sumpah matkul nya bagus loh kalah mbkm,1,Positif
827,revisi deadline bingung mbkm deh libur kali tengah uang tip,9,Positif
828,laksana giat rutin apel pagi lingkung kantor tanah kota denpasar ikut segenap jajar pns ppnpn taruna program mbkm sekolah tanah nasional laksana senin juni,3,Positif
829,sisi problem kupendem semalem overthinking mbkm gituw hehe oke,-2,Negatif
830,haters bijak um wajib mbkm kali,-4,Negatif
831,kasubdit inovasi ajar unp untung program mbkm,8,Positif
832,braw fak tani kbtulan sekrg mbkm smester isi logbook minggu jam jam ngaruh nilai kmpus ya kakak mbkm tia,6,Positif
833,maaf negative thinking beliau daftarin gue teliti didaftarin gue mbkm teman gue didaftarin aaa sedih banget sistem sih gue,-6,Negatif
834,tementemen uns tolong bantu isiin kuesioner ku survei pengaruh program mbkm minat organ mahasiswa uns sedia ya kalo ku kirim gformnya dm mohon bantu,26,Positif
835,nitip asa metodologi teliti mbkm bekal pba,6,Positif
836,ganti kurikulum tibatiba jelas ttng mbkm alias pls info semester kampus kampus,-2,Negatif
837,tips mbkm tolong dokumentasi publish usahain ngmong teman klompoknya sistem rolling ngandelin iphone nya oraang kalo kayak maah bbh habis nya bnerin hp paksa hp nya,-1,Negatif
838,nesa mbkm kali wajib bu semangat semwaa,2,Positif
839,eh gue tuju kalo program mbkm money oriented nih sengaja bikin biar orang fokus urus cari uang kejar capai muak kritik perintah,-7,Negatif
840,yaps banget list dosen wadah isi informasi datadata dosen didik ipa dosen mku dosen mbkm mudah mahasiswa departemen didik ipa perlu akademik,17,Positif
841,anak bem mbkm himpun ukm,-6,Negatif
842,anak lembaga kampus sih ngakrab dosen bimbing mbkm,-3,Negatif
843,untung mbkm libur lumayan,7,Positif
844,hasil observasi cengang daftar isi pakai tab manual kalo revisi ribet kali kerja ngedit semenjak nanganin anak magang mbkm apa nama program lapang,2,Positif
845,krj gue anak magang mbkm kalo suruh inisiatif belepotan asih kuliah lapang gilir kasih sempat diam ya nganggepnya mudeng pas lapor ada hasil googling,21,Positif
846,dorong transformasi didik kampus merdeka fair kuat gera mbkm mandiri,5,Positif
847,hmm ambil mbkm ya,-1,Negatif
848,pusing jawabin mbkm pusing liet,-8,Negatif
849,mama tersnyum amin esok pagi buru kampus teman mbkm selenggara agenda lapor smpat keluh mama takut kali mama membru dukung full pdaku,28,Positif
850,anak dendam memang redah memdengar program mbkm berapiapi lulus bukti bangga kuliah prestasi,2,Positif
851,temanteman ambil mbkm prodi ilmu sejarah,-1,Negatif
852,singkat cerita mama satu wanita jasa hidup anak tuju sosok kuliah semester mbkm surabaya mama ijinin,17,Positif
853,um mbkm dftr kah kayak msib kalo lanjut tes msib kmnya blacklist ya thx,3,Positif
854,baba msib semester rela anda tanggung organisasi banget daftar pmm kemarin msib sems moga sems program mbkm ya allah,17,Positif
855,magang semester tua join mbkm laku rekognisi kkn kkn,2,Positif
856,jadi alamin katingku kating mbkm ajar anak sd anak sd cewek kayak ngejar katingku dichat telpon terus bahasa kayak sopan,-14,Negatif
857,alam gue mbkm ajar anak sd kelas atas saru banget save no teman tim ku cowok ramah eh chat mulu telponin vc teman gue adu suruh kasih tau sopan untung guru waras ya,5,Positif
858,kalo aju proses koor mbkm prodi,-2,Negatif
859,uang lancar bimbing mbkm predikat kompeten sertifikasi bnsp kuliah lancar sehat bahagia sejahtera,20,Positif
860,aslina sertif mbkm riset kgk sih,-3,Negatif
861,kkn gua konversi mbkm,-3,Negatif
862,benar deh ya setressetresnya uas daftar mbkm prokeran nontonin mood booster gue bismillah ya gue hati nurani,19,Positif
863,teman frekuensi pas semester nderr kenal semester benar dekat pas semester semester mbkm beda interaksi ketemu itu aku sksd kenal,17,Positif
864,ngurusi mbkm nafsu makan,1,Positif
865,nitip ruang dosen ambil beberap cuman ruang beliau ditempelin oh ya agustus insyaallah dosen ngelulusin mahasiswa si beliau bimbing si mbkm kp dll benar bimbing,3,Positif
866,ajar konservasi program mbkm palu,1,Positif
867,daftar kerja lapor divais sensor daftar mbkm tulis materi standup rafli,6,Positif
868,gencar sosialisasi mbkm unp dukung mahasiswa ikut msib,1,Positif
869,ngechat mbkm besok deh daftar,1,Positif
870,mahasiswa sibuk mbkm buat perintah lol,5,Positif
871,um gais sender smt mbkm malang tau kalo malang kopi tuku jl jombang kost sender btw belah ya gais tempat,-18,Negatif
872,akhirakhir lihat sosok theo derick situ bilang bisnis tugas kuliah prasmul kayak wow model tiru perintah mbkm gamodal bayang visioner,8,Positif
873,terima program mbkm apa,-1,Negatif
874,magang saran mbkm pas semester deh ingat,7,Positif
875,telyu mbkm studi independen,4,Positif
876,um anak sastra rekomendasi msibnya acc pls ya mepet tutup chat dpa koor mbkm ubah status tau kah tia,-3,Negatif
877,mbkm wajib kampus kasih list magang sesuai jurus pilih yauda full magang,-3,Negatif
878,mjb kak kaya website mbkm ns,2,Positif
879,masuk diskursus rutin kamis ukt lpdp iisma mbkm kalo kandidat mahasw cari orang percaya,-4,Negatif
880,ajak angkat suka sindir coba aktif kelas mbkm iri bayang rangkul lho ah alhamdulillah lulus kemarin,10,Positif
881,tenaga mahasiswa habis program alih gera giat negatif misalny logika kayak anak kasih eskul biar kagak nongkrang nongkring fisik mbkmiisma mhs ugm lokasi jogja ngaruh loh,0,Netral
882,kenal konsep authoritarian innovation sepakat aliansi terus lindung aksi mbkm rancang programprogram kayak mbkm iisma dll jadi salah,8,Positif
883,kampus merdeka fair kuat gera mbkm mandiri,2,Positif
884,ya allah hahahihi tbtb suruh mbkm,7,Positif
885,nya gua bilang kuliah gua rumah eh lu tau studi independen lu suami dosen kasih tau mbkm jancoo,-4,Negatif
886,mbkm terima kasih pm wilayah berita penuh,2,Positif
887,ya allah gaboleh ya kuliah gaperlu pikir paper mbkm langsung model,17,Positif
888,mahasiswa stres mbkm n paper deserves a puk puk from byeon wooseok,-4,Negatif
889,jumat mei lepas mahasiswa magang fakultas tani universitas syiah kuala program merdeka ajar kampus merdeka mbkm atrbpnkinilebihbaik atrbpnmajudanmodern melayaniprofesionalterpercaya saleumteukadibpnacehjaya,5,Positif
890,coba laman mbkm nder lihat anggotanyaa,5,Positif
891,demam badan sakit mbkm rang jam pulang rumah jam bikin gue lemes daya,-11,Negatif
892,stres banget anak mbkm info samsek kait tugas uas begimana dosen,-9,Negatif
893,nesa gue deh muak urus mbkm,-5,Negatif
894,halo temanmamin jumat jurus manajemen selenggara giat sosialisasi mbkm bicara dosen jurus manajemen nanang wahyudin mm,6,Positif
895,nesa mbkm suruh nyantumin rek bank man daftar online gusy,-2,Negatif
896,wokwowk sesuai mbkm,3,Positif
897,politik anakanak aliansi gera evaluasi strategi gera sih kalo aksi inovasi approach mahasiswa biar tarik aksi lindung balik mbkm cont,12,Positif
898,kampus merdeka fair ajang kolaborasi guru implementasi mbkm via infosumbar,-1,Negatif
899,tahun jarang kampus sih mbkm smt smt kampus,0,Netral
900,kalo dipikirpikir kuliah asih expert ilmu sih banyak ilmu dasar kalo insight kini eksplore untung didik ngefasilitasin mbkm sedih sih pas kurikulum merdekatt,22,Positif
901,kemendikbud ristek universitas pgri sumatera barat gelar kampus merdeka fair upaya kuat gera mbkm mandiri,5,Positif
902,universitas udayana lepas mahasiswa dpl mbkm bangun desakkn tematik mandiri desa kemenuh desa sibang kaja,-5,Negatif
903,nemu dosen kayak semester lari kuliah program mbkm ya ketemu dosen semester,-1,Negatif
904,bijak mbkm nadiem makarim apatis,4,Positif
905,um mbkm teliti semester loogbook mbkm nya isi kayak ya,3,Positif
906,skema mbkm bppsdmkp tantang cetak sdmunggul dinamis produktif amp talenta global lulus relevan butuh industri mbkmkkp ekonomibiru indonesia kkpbeyond sdmkp,2,Positif
907,sobatbahari upaya dukung ekonomibiru bppsdmkp terap program strategis transformasi didik vocational goes actors voga inovasi tata kelola terap merdeka ajar kampus merdeka mbkm satu pendidikankp kkpbeyond,19,Positif
908,rek studi independen mbkm wajib buka bank mandiri kahh magang msib,2,Positif
909,nesa verifikasi rekening mbkm banget,1,Positif
910,uny ambil matkul mbkm leksikografi matkulnya offlineonline ya,-1,Negatif
911,kampus merdeka fair kuat gera mbkm mandiri beritasatu news berita,0,Netral
912,nesa ttd transkip nilai mbkm online pliss jawa,5,Positif
913,kampus merdeka fair kuat gera mbkm mandiri temponasional,2,Positif
914,yujiem anak akuntansimanajemen angkat minat parttime bidang finance rep ya sender dm utama kkn ambil mbkm ya,7,Positif
915,jujur kali urus seribet kalo program mbkm deh bank belah kalo urus ribet deh,-5,Negatif
916,itera mbkm selesai ngisi kuisionerkah,2,Positif
917,sahabatbahari upaya dukung ekonomibiru bppsdmkp terap program strategis transformasi didik vocational goes actors voga inovasi tata kelola terap merdeka ajar kampus merdeka mbkm satu pendidikankp,19,Positif
918,wagub sumbar mbkm hadir ubah guru,5,Positif
919,laptop nya tanggal kemarin nyala pantau mahasiswa mbkm kejar deadline,-3,Negatif
920,oo kampus mbkm riset kak publish jurnal ya,4,Positif
921,karawang sorabbahari plt kapusluhkp plt bid ekonomi sosial budaya damping menkp kepala bppsdmkp acara lepas sdm terampil dukung ekonomi biru mbkm,11,Positif
922,aktivitas minggu lapor mbkm isie kos misay pus ngono,2,Positif
923,wkwkwk tugas rekognisi mbkm banget gue stres menang rumah ditenangin marah,6,Positif
924,pikir mbkm,1,Positif
925,nesa tanyaa kalo daftar mbkm syarat asuransi sehat ya pakai asuransi unesa tia,9,Positif
926,cepett banget dah sem habis mbkm,1,Positif
927,um guys info smt kumpul lapor teliti mbkm kumpulin ya,4,Positif
928,tmenku sih nonmbkm minggu nder efektif lapang kalo lapang ngerjain luar mbkm wkwkwk,12,Positif
929,mbkm kalo reguler,0,Netral
930,jir semester kudu mbkm,-3,Negatif
931,haloo bolo bantu yuk mbkm teknologi hasil tani open preorder nih choux au craqueline spirulina harga kak free cod area ugm order via dm chelinedessert yuk cobaainn,20,Positif
932,gue sdih banget sbrnya mbkm tanggulang bencana tanah datar alur timbang lumayan gue ngambil pilih ngundur moga semester gue mbkm minat gue kkl doa lolos kkl,1,Positif
933,jujur tahap mending gue jalur reguler deh mbkm syarat prodi,2,Positif
934,nadiem makarim stop nyuruh mahasiswa si berwirausaha pkm mbkm kontooll,0,Netral
935,concept map esai gagas refleksi cbt oral exam mbkm draftrevisi seminar proposal seminar proposal,5,Positif
936,hadap tantang penuh butuh manfaat program mbkm,-4,Negatif
937,bsip hortikultura selenggara kuliah merdeka ajar kampus merdeka mbkm universitas andalas kuliahumum mbkm bsiphortikultura kementerianpertanian agrostandar,5,Positif
938,mahasiswa daftar program mbkm merdeka ajar kampus merdeka program magang rancang budaya dorong mahasiswa kuasa kompetensi sesuai bidang studi ikut magang januari,12,Positif
939,dosen bimbing akademik mbkm merdeka ajar kampus merdeka giat lepas wakil nurul asmiati analis sdm aparatur kamis,2,Positif
940,santai kuota mbkm dikit anjir yakali kampus,-6,Negatif
941,ges akun swalapor mbkm upi kayak ya sender coba login tampil haturnuhun,4,Positif
942,sedulurkpubanyumas temanpemilih kpu kabupaten banyumas selenggara kelas milu ikut mahasiswa magang mbkm kpu kabupaten banyumas materi proses selesai perkara selisih hasil pilih kamis,-7,Negatif
943,sobatbahari upaya dukung ekonomibiru bppsdmkp terap program strategis transformasi didik vocational goes actors voga inovasi tata kelola terap merdeka ajar kampus merdeka mbkm satu pendidikankp,19,Positif
944,ada kakak kakak msib mbkm sedia rep ya,10,Positif
945,private tour bandoeng waktoe itoe kali mbkm bela negara unpar sman bandung laksana generasi muda peran jaga tahan nasional wujud tumbuh sadar sejarah generasi terus bangsa terima kasih,3,Positif
946,mohon bantu info nya kakak kakak matematika uny list usaha jogja terima magang mbkm terimakasih,10,Positif
947,halo temanmamin sosialisasi mbkm mahasiswa manajemen angkat giat isi dosen jurus manajemen nanang wahyudin mm sosialisasi kali mohon siap baik ya,16,Positif
948,habis seminar mbkm kurang beban tau revisi reviewer jurnall anjir byee kp welcome teliti welcome ancang pabrique,10,Positif
949,giat kunjung menteri kp poltek kp karawang rangka lepas sdm terampil dukung ekonomi biru mbkm pamer kewirausahaan rabu,6,Positif
950,gue begitu sih benar skripsitugas tuh juang balik gue akibat ambil mbkm kelas tugas gue gue ambil ajar buku asli,-8,Negatif
951,sahabatdikbud januari programprogram merdekabelajarkampusmerdeka mbkm ikut juta mahasiswa gabung program flagship mbkm mandiri guru kolaborasi selenggara program,-3,Negatif
952,guys anak sasing ya prancis cuman matkul tambah ambil as mbkm,0,Netral
953,sih jadi enggk wajib kkn keluar uang orang alias paksa abdi total mesti program ganti sih kayak mbkm indonesia ajar teliti suku pelosok inti abdi masyarakat,-13,Negatif
954,eh daftar mbkm tutup ya,3,Positif
955,kalo omong baikbaik anjing kalo butuh duit kuliah jajan mending gua cabut mbkm,-18,Negatif
956,bsip karya mahasiswa mbkm ajar proses panen pasca panen padi giat uji nutrient mining rumah kaca lengkap,11,Positif
957,omaga tawar magang lawan sepupu lesgoo bagus cv sagan magang mbkm kena,-4,Negatif
958,maksud mbkm,3,Positif
959,yes mbkm,3,Positif
960,free webinar tarik daftar msib program studi independen bidang data science amp artificial intelligence dapat akses mbkm msib stupen studpen,11,Positif
961,penasaran kalo mahasiswa tuh politis pintar pintar kena doktrin kerja mbkm sulit si banhak harap bem kampus kerja taruh gaji huhu,8,Positif
962,pilih majlis buku bangsa malaysia mbkm,-2,Negatif
963,fpk report fpk laksana kunjung monitoring evaluasi monev program mbkm pasuruan fakultas psikologi sehat fpk laku kunjung monitoring evaluasi monev merdeka ajar kampus merdeka mbkm,11,Positif
964,sr msib gua tolak anjing kaprodi smt magang misscom kaprodi dosen pj mbkm,-11,Negatif
965,tuju kkn ymma konversi giat mbkm teman gue undip konversi kkn iisma lantai,3,Positif
966,mbkm hasil sks jam giat tatap muka tugas struktur tugas mandiri ajar sks tara jam kalo ambil sks ya kali kaget kalo mahasiswa kerja nugas magang tipes,9,Positif
967,sumpah seru banget teman kelas mbkm sepi,3,Positif
968,nder magang mbkm sih info magang telkom bise coba akunnye livingtelkom kalbar biaseny adek info magang loker telkom,-3,Negatif
969,agenda sibuk berat bawa ikut pitching startup kelas kantor iup kelas baca overtime hiks meetup teammates ngerjain pitch deck urus mbkm opsional degan h announcement opsional,-3,Negatif
970,finally tugas tinggal revisi proposal tampil drama lapor cicil lapor edit video mbkm pragmatics analisis finally,5,Positif
971,tau atur fakultas beda lets be real mbkm sks semester might be a waste of sks banyak batas mahasiswa eksplor ambil kelas eksternal minat fakultas ambil mbkm sks,-9,Negatif
972,pnup tuan rumah seminar nasional ptv indonesia pnupahlinyavokasi vokasikuat vokasiindonesia kampusvokasi mbkm pnup poltek pnupku maccaki maccakipnup politekniknegeriujungpandang kurikulummerdeka pembelajaranberkualitasbagisemua sahabatvokasi ptv,3,Positif
973,semester pas mbkm seru banget,9,Positif
974,mei lama dikit urus apaapa mbkm,-8,Negatif
975,smt mbkm ketemu tementemen teman solanya smt online,1,Positif
976,alam kerja pabrik masuk cv mbkm kaah,1,Positif
977,soalny kuliah kelas ambil salah program mbkm full turun lapang seru slayy,-2,Negatif
978,sem ikutt mbkm sih,0,Netral
979,sem mbkm giat semester,0,Netral
980,ya allah moga sejelekjeleknya nilai semester moga enggak ambil mbkm ya allah,20,Positif
981,smt pas smt paruh angkat ganti mbkm sepi,3,Positif
982,deh program mbkm,0,Netral
983,kali bwi bekerjasama universitas katolik parahyangan bandung program mbkm bela negara ada private tour siswa sman bandung rangka kuat komitmen generasi muda kenal waris sejarah simak seru besok ya,22,Positif
984,tau kalo minat coba cek laman mbkm msib,-2,Negatif
985,desa karanglo desa kalipang apresiasi program mbkm manfaat maju desa,5,Positif
986,kunjung monev program mbkm assalamu alaikum wr wb halo temanteman fpk,6,Positif
987,khusus magang mbkm msib kalo ngelamar kerja gaji tau pasti beda jabat ambil beda,-11,Negatif
988,curhat dikit nesa salty sender sedih bingung putus kaprodi sender kalo semester wajib mbkm buka msib tutup sender kupukupu prodi sender susah banget cari cont,-10,Negatif
989,yaudah cek usaha asih uang magang mbkm,1,Positif
990,kerjasama pnup go study global education pnupahlinyavokasi vokasikuat vokasiindonesia kampusvokasi mbkm pnup poltek politekniknegeriujungpandang kurikulummerdeka merdekabelajar pembelajaranberkualitasbagisemua sahabatvokasi gostudyglobaleducation,3,Positif
991,kalo mbkm tuh tunjang,3,Positif
992,hai sttiserz sosialisasi merdeka ajar kampus merdeka mbkm daftar ayo tulis chat kolom komentar daftar tinggal daftar merdekabelajar kampusmerdeka,15,Positif
993,kampus ku bilang mbkm bayar anjir kerja kemarin kasih thr kak lumayan,7,Positif
994,um mbkm isi pbm,2,Positif
995,monyet benar mbkm smt kah,-1,Negatif
996,beritaunp mbkm unp hadir sekolah ekspor lacorre cadfem indonesia sosialisasi studi independen sertifikat universitasnegeripadang kampusmerdeka humasunp kampusmerdeka,9,Positif
997,bicara insight informasi putar mbkm mahasiswa feb unud,2,Positif
998,equilibrium academic dialogue ead salah program kerja milik bem feb unud bentuk sosialisasi mahasiswa feb unud kait kegiatankegiatan program merdeka ajar kampus merdeka mbkm sistem konversi sks rekognisi mata kuliah,5,Positif
999,mbkm kalo mandiri cari bayar jir gila,-5,Negatif
1000,gue program mbkm smst wkwk telat nder,-5,Negatif
1001,get ready magang mbkm kampus merdeka buka loh yuk gabung salah usaha produsen pupuk besar lengkap indonesia petrokimia gresik petrokimiagresik solusiagroindustri,6,Positif
1002,magang petrokimia gresik nanyaa hayo sahabat nih kemarin nanyain magang petrokimia gresik petromin informasi nih sahabat growthexcellence magangmsib mbkm kampusmerdeka,14,Positif
1003,pic mbkm gue anjing gat sebal banget,-3,Negatif
1004,coba nih semester ketemu beda mbkm alhamdulillah sih wkwk,6,Positif
1005,ya allah buka ulip kali kampus merdeka ya allah gue kali mbkm,21,Positif
